Ticker,Company,CEO,Year,Compensation
HCA,"HCA Healthcare, Inc.",Samuel Hazen,2019,26788251
CNC,Centene Corporation,Michael Neidorff,2019,26438425
BAC,Bank of America Corporation,Brian Moynihan,2019,26039213
CRM,"salesforce.com, inc.",Marc Benioff,2020,25969494
CSCO,"Cisco Systems, Inc.",Charles Robbins,2019,25829833
PYPL,"PayPal Holdings, Inc.",Daniel Schulman,2019,25825473
C,Citigroup Inc.,Michael Corbat,2019,25508761
JNJ,Johnson & Johnson,Alex Gorsky,2019,25365777
CMI,Cummins Inc.,N. Linebarger,2019,25116751
LVS,Las Vegas Sands Corp.,Sheldon Adelson,2019,24680118
GS,"The Goldman Sachs Group, Inc.",David Solomon,2019,24657737
GE,General Electric Company,H. Culp Jr.,2019,24553788
AMP,"Ameriprise Financial, Inc.",James Cracchiolo,2019,24516930
UHS,"Universal Health Services, Inc.",Alan Miller,2019,24473240
BLK,"BlackRock, Inc.",Laurence Fink,2019,24308254
V,Visa Inc.,Alfred Kelly Jr.,2019,24265771
TT,Trane Technologies Plc,Michael Lamach,2019,24217128
MPC,Marathon Petroleum Corporation,Gary Heminger,2019,24129164
AXP,American Express Company,Stephen Squeri,2019,23796002
MSI,"Motorola Solutions, Inc.",Gregory Brown,2019,23619990
XOM,Exxon Mobil Corporation,Darren Woods,2019,23494929
FB,"Facebook, Inc.",Mark Zuckerberg,2019,23415973
MA,Mastercard Incorporated,Ajay Banga,2019,23249977
QCOM,QUALCOMM Incorporated,Steven Mollenkopf,2019,23065052
LIN,Linde Plc,Stephen Angel,2019,22475878
IQV,"IQVIA Holdings, Inc.",Ari Bousbib,2019,22139776
PM,Philip Morris International Inc.,Andre Calantzopoulos,2019,22125060
WMT,Walmart Inc.,C. McMillon,2020,22105350
NEE,"NextEra Energy, Inc.",James Robo,2019,21877597
DE,Deere & Company,Samuel Allen,2019,21697885
GM,General Motors Company,Mary Barra,2019,21630867
ABBV,AbbVie Inc.,Richard Gonzalez,2019,21610598
REGN,"Regeneron Pharmaceuticals, Inc.",Leonard Schleifer,2019,21455117
EL,"The Estee Lauder Companies, Inc.",Fabrizio Freda,2019,21435428
HLT,"Hilton Worldwide Holdings, Inc.",Christopher Nassetta,2019,21374121
EA,Electronic Arts Inc.,Andrew Wilson,2020,21365751
LLY,Eli Lilly and Company,David Ricks,2019,21283242
ZTS,Zoetis Inc.,Juan Alaix,2019,21145419
PAYC,"Paycom Software, Inc.",Chad Richison,2019,21138558
KR,The Kroger Co.,W. McMullen,2020,21129648
SLG,SL Green Realty Corp.,Marc Holliday,2019,20990016
HON,Honeywell International Inc.,Darius Adamczyk,2019,20525104
KLAC,KLA Corporation,Richard Wallace,2019,20512367
GPN,Global Payments Inc.,Jeffrey Sloan,2019,20502096
PG,The Procter & Gamble Company,David Taylor,2019,20498812
CB,Chubb Limited,Evan Greenberg,2019,20475070
MMC,"Marsh & McLennan Companies, Inc.",Daniel Glaser,2019,20331697
NOC,Northrop Grumman Corporation,Kathy Warden,2019,20307994
EMR,Emerson Electric Co.,David Farr,2019,20301576
IBM,International Business Machines Corporation,Virginia Rometty,2019,20160865
ETN,Eaton Corporation plc,Craig Arnold,2019,19962364
OMC,"Omnicom Group, Inc.",John Wren,2019,19818780
SRE,Sempra Energy,Jeffrey Martin,2019,19806346
ES,Eversource Energy,James Judge,2019,19806088
ECL,Ecolab Inc.,Douglas Baker,2019,19803193
ALL,The Allstate Corporation,Thomas Wilson,2019,19615696
AMGN,Amgen Inc.,Robert Bradway,2019,19612793
ANSS,"ANSYS, Inc.",Ajei Gopal,2019,19591413
AIG,"American International Group, Inc.",Brian Duperreault,2019,19369637
HPQ,HP Inc.,Dion Weisler,2019,19317972
CI,Cigna Corporation,David Cordani,2019,19303032
SBUX,Starbucks Corporation,Kevin Johnson,2019,19241950
WBA,"Walgreens Boots Alliance, Inc.",Stefano Pessina,2019,19156202
CDNS,"Cadence Design Systems, Inc.",Lip-Bu Tan,2019,19146556
SLB,Schlumberger NV,Olivier Peuch,2019,19117170
NUE,Nucor Corporation,John Ferriola,2019,19099582
