Ticker,Company,CEO,Year,Compensation
HSIC,"Henry Schein, Inc.",Stanley Bergman,2019,14422944
ICE,"Intercontinental Exchange, Inc.",Jeffrey Sprecher,2019,14408908
CAG,"Conagra Brands, Inc.",Sean Connolly,2019,14392748
RCL,Royal Caribbean Cruises Ltd.,Richard Fain,2019,14358919
DHI,"D.R. Horton, Inc.",David Auld,2019,14351631
APA,Apache Corporation,John Christmann,2019,14287300
GLW,Corning Incorporated,Wendell Weeks,2019,14283654
EFX,Equifax Inc.,Mark Begor,2019,14281552
ETR,Entergy Corporation,Leo Denault,2019,14264249
BA,The Boeing Company,Dennis Muilenburg,2019,14250195
PPL,PPL Corporation,William Spence,2019,14142567
FTV,Fortive Corporation,James Lico,2019,14141477
AFL,Aflac Incorporated,Daniel Amos,2019,14108852
AMAT,"Applied Materials, Inc.",Gary Dickerson,2019,14072395
MRO,Marathon Oil Corporation,Lee Tillman,2019,14050851
PGR,The Progressive Corporation,Susan Griffith,2019,14041272
WHR,Whirlpool Corporation,Marc Bitzer,2019,13999494
MNST,Monster Beverage Corporation,Rodney Sacks,2019,13982434
NKE,"NIKE, Inc.",Mark Parker,2019,13968022
BWA,BorgWarner Inc.,Frederic Lissalde,2019,13947029
BAX,Baxter International Inc.,Jose Almeida,2019,13913821
NDAQ,"Nasdaq, Inc.",Adena Friedman,2019,13869287
WYNN,Wynn Resorts Ltd.,Matthew Maddox,2019,13851298
COG,Cabot Oil & Gas Corporation,Dan Dinges,2019,13830926
DVN,Devon Energy Corporation,David Hager,2019,13795899
MCO,Moody's Corporation,Raymond McDaniel Jr.,2019,13751632
LRCX,Lam Research Corporation,Timothy Archer,2019,13745109
HPE,Hewlett Packard Enterprise Company,Antonio Neri,2019,13714497
SWKS,"Skyworks Solutions, Inc.",Liam Griffin,2019,13660593
TIF,Tiffany & Co.,Alessandro Bogliolo,2020,13500457
HES,Hess Corporation,John Hess,2019,13493661
MAR,"Marriott International, Inc.",Arne Sorenson,2019,13435887
CBRE,"CBRE Group, Inc.",Robert Sulentic,2019,13419419
PXD,Pioneer Natural Resources Company,Scott Sheffield,2019,13355547
DXC,DXC Technology Co.,Michael Salvino,2020,13320505
NTAP,"NetApp, Inc.",George Kurian,2019,13164969
MGM,MGM Resorts International,James Murren,2019,13146352
WELL,"Welltower, Inc.",Thomas DeRosa,2019,13142124
